Sensor position, angle , timestamp, and quality in inches, degrees and seconds, respectively

 x            y            z            a            e            r            timestamp          quality
+7.87939453 -3.43652344 -8.51660156 +164.17968750 -74.97070313 +41.30859375 +1554389018.02710009 +1028
+14.58984375 +2.80810547 +1.60400391 -169.67285156 +1.97753906 +134.09912109 +1554389018.02710009 +448
+7.78710938 -3.47167969 -8.53417969 +162.83935547 -75.38818359 +42.69287109 +1554389018.03119993 +1032
+14.58984375 +2.80810547 +1.60400391 -169.67285156 +1.97753906 +134.09912109 +1554389018.03119993 +448
+7.69042969 -3.50244141 -8.56494141 +161.49902344 -75.89355469 +44.07714844 +1554389018.03539991 +1040
+14.58984375 +2.80810547 +1.60400391 -169.67285156 +1.97753906 +134.09912109 +1554389018.03539991 +448
+7.59814453 -3.52880859 -8.58691406 +160.15869141 -76.35498047 +45.48339844 +1554389018.03950000 +1044
+14.58984375 +2.80810547 +1.60400391 -169.67285156 +1.97753906 +134.09912109 +1554389018.03950000 +448
+7.50585938 -3.55517578 -8.60449219 +158.81835938 -76.79443359 +46.88964844 +1554389018.04369998 +1048
+14.58984375 +2.80810547 +1.60400391 -169.65087891 +1.97753906 +134.09912109 +1554389018.04369998 +448
+7.40478516 -3.57275391 -8.63085938 +157.43408203 -77.29980469 +48.31787109 +1554389018.04789996 +1052
+14.58984375 +2.80810547 +1.60400391 -169.65087891 +1.97753906 +134.07714844 +1554389018.04789996 +448
+7.31250000 -3.59033203 -8.65283203 +156.02783203 -77.73925781 +49.79003906 +1554389018.05200005 +1052
+14.58984375 +2.80810547 +1.60400391 -169.65087891 +1.97753906 +134.07714844 +1554389018.05200005 +448
+7.21582031 -3.60351563 -8.67041016 +154.59960938 -78.17871094 +51.30615234 +1554389018.05620003 +1052
+14.58984375 +2.80810547 +1.60400391 -169.65087891 +1.97753906 +134.07714844 +1554389018.05620003 +448
+7.11474609 -3.61230469 -8.69677734 +153.08349609 -78.72802734 +52.88818359 +1554389018.06040001 +1056
+14.58984375 +2.80810547 +1.60400391 -169.65087891 +1.97753906 +134.07714844 +1554389018.06040001 +448
+7.01806641 -3.61669922 -8.71435547 +151.58935547 -79.18945313 +54.47021484 +1554389018.06450009 +1060
+14.58984375 +2.80810547 +1.60400391 -169.65087891 +1.97753906 +134.07714844 +1554389018.06450009 +448
+6.92138672 -3.61669922 -8.73193359 +150.13916016 -79.65087891 +56.00830078 +1554389018.06870008 +1056
+14.58984375 +2.80810547 +1.60400391 -169.65087891 +1.97753906 +134.07714844 +1554389018.06870008 +448
+6.82031250 -3.61230469 -8.75390625 +148.46923828 -80.17822266 +57.72216797 +1554389018.07290006 +1060
+14.58984375 +2.80810547 +1.60400391 -169.65087891 +1.97753906 +134.09912109 +1554389018.07290006 +448
+6.72363281 -3.60791016 -8.77587891 +146.79931641 -80.66162109 +59.45800781 +1554389018.07699990 +1060
+14.58984375 +2.80810547 +1.60400391 -169.65087891 +1.95556641 +134.09912109 +1554389018.07699990 +448
+6.62695313 -3.59472656 -8.78906250 +145.30517578 -81.12304688 +61.04003906 +1554389018.08119988 +1056
+14.58984375 +2.80810547 +1.60400391 -169.65087891 +1.95556641 +134.09912109 +1554389018.08119988 +448
+6.52148438 -3.57714844 -8.81103516 +143.37158203 -81.69433594 +62.99560547 +1554389018.08540010 +1060
+14.58984375 +2.80810547 +1.60400391 -169.65087891 +1.95556641 +134.09912109 +1554389018.08540010 +448
+6.42480469 -3.55957031 -8.82861328 +141.50390625 -82.19970703 +64.90722656 +1554389018.08949995 +1056
+14.58984375 +2.80810547 +1.60400391 -169.65087891 +1.95556641 +134.12109375 +1554389018.08949995 +448
+6.32812500 -3.53320313 -8.83740234 +139.81201172 -82.68310547 +66.68701172 +1554389018.09369993 +1052
+14.58984375 +2.80810547 +1.60400391 -169.65087891 +1.95556641 +134.12109375 +1554389018.09369993 +448
+6.22265625 -3.50683594 -8.85937500 +137.41699219 -83.27636719 +69.08203125 +1554389018.09789991 +1052
+14.58984375 +2.80810547 +1.60400391 -169.65087891 +1.95556641 +134.12109375 +1554389018.09789991 +448
+6.12597656 -3.47607422 -8.87695313 +135.04394531 -83.80371094 +71.47705078 +1554389018.10200000 +1052
+14.58984375 +2.80810547 +1.60400391 -169.65087891 +1.95556641 +134.14306641 +1554389018.10200000 +448
+6.02929688 -3.43212891 -8.88574219 +132.93457031 -84.30908203 +73.60839844 +1554389018.10619998 +1044
+14.58984375 +2.80810547 +1.60400391 -169.65087891 +1.95556641 +134.14306641 +1554389018.10619998 +448
+5.92382813 -3.39257813 -8.90332031 +129.63867188 -84.90234375 +76.88232422 +1554389018.11030006 +1040
+14.58984375 +2.80810547 +1.60400391 -169.65087891 +1.95556641 +134.14306641 +1554389018.11030006 +448
+5.82714844 -3.34863281 -8.91650391 +126.21093750 -85.40771484 +80.31005859 +1554389018.11450005 +1036
+14.58984375 +2.80810547 +1.60400391 -169.65087891 +1.95556641 +134.14306641 +1554389018.11450005 +448
+5.73046875 -3.29589844 -8.92089844 +122.73925781 -85.93505859 +83.82568359 +1554389018.11870003 +1028
