Sensor 2 position, angle , timestamp, and quality in inches, degrees and seconds, respectively

 x            y            z            a            e            r            timestamp          quality
+14.62500000 +3.43652344 -7.90576172 -175.67138672 +36.05712891 -129.24316406 +1554150042.55220008 +688
+14.62060547 +3.43212891 -7.89257813 -175.53955078 +35.96923828 -129.02343750 +1554150042.55640006 +692
+14.60742188 +3.42333984 -7.88818359 -175.38574219 +35.81542969 -128.80371094 +1554150042.56060004 +692
+14.59863281 +3.42773438 -7.87500000 -175.27587891 +35.74951172 -128.69384766 +1554150042.56469989 +692
+14.58984375 +3.41894531 -7.86181641 -175.16601563 +35.66162109 -128.58398438 +1554150042.56890011 +692
+14.58105469 +3.41015625 -7.84863281 -175.05615234 +35.55175781 -128.45214844 +1554150042.57310009 +692
+14.57226563 +3.40576172 -7.83984375 -174.96826172 +35.46386719 -128.40820313 +1554150042.57719994 +692
+14.56347656 +3.39697266 -7.82666016 -174.90234375 +35.39794922 -128.36425781 +1554150042.58139992 +696
+14.55468750 +3.38818359 -7.81347656 -174.83642578 +35.31005859 -128.32031250 +1554150042.58559990 +696
+14.54589844 +3.37939453 -7.80468750 -174.77050781 +35.24414063 -128.32031250 +1554150042.58969998 +696
+14.53710938 +3.37060547 -7.79150391 -174.72656250 +35.17822266 -128.32031250 +1554150042.59389997 +696
+14.52832031 +3.36181641 -7.77832031 -174.66064453 +35.11230469 -128.34228516 +1554150042.59800005 +700
+14.51953125 +3.35742188 -7.76513672 -174.61669922 +35.04638672 -128.36425781 +1554150042.60220003 +700
+14.51074219 +3.34863281 -7.75634766 -174.57275391 +34.98046875 -128.38623047 +1554150042.60640001 +700
+14.50195313 +3.33984375 -7.74316406 -174.52880859 +34.91455078 -128.40820313 +1554150042.61050010 +700
+14.49316406 +3.32666016 -7.72998047 -174.50683594 +34.84863281 -128.43017578 +1554150042.61470008 +704
+14.48437500 +3.31787109 -7.71679688 -174.46289063 +34.78271484 -128.45214844 +1554150042.61890006 +704
+14.46240234 +3.30029297 -7.69042969 -174.39697266 +34.65087891 -128.49609375 +1554150042.62719989 +704
+14.45361328 +3.29589844 -7.67724609 -174.33105469 +34.60693359 -128.51806641 +1554150042.63140011 +704
+14.44482422 +3.29150391 -7.66406250 -174.28710938 +34.56298828 -128.54003906 +1554150042.63549995 +704
+14.43603516 +3.28710938 -7.65527344 -174.24316406 +34.49707031 -128.54003906 +1554150042.63969994 +704
