Sensor 2 position, angle , timestamp, and quality in inches, degrees and seconds, respectively

 x            y            z            a            e            r            timestamp          quality
+13.46923828 -2.56640625 -8.16943359 +124.43115234 +33.57421875 +151.83105469 +1554150183.29080009 +712
+13.45605469 -2.60156250 -8.17822266 +124.10156250 +33.42041016 +151.56738281 +1554150183.29489994 +712
+13.43408203 -2.64550781 -8.20019531 +123.79394531 +33.20068359 +151.43554688 +1554150183.29909992 +716
+13.41650391 -2.68945313 -8.22656250 +123.48632813 +32.98095703 +151.32568359 +1554150183.30329990 +720
+13.40771484 -2.73339844 -8.24414063 +123.15673828 +32.80517578 +151.14990234 +1554150183.30739999 +724
+13.38574219 -2.78173828 -8.27490234 +122.84912109 +32.56347656 +151.08398438 +1554150183.31159997 +732
+13.37255859 -2.82568359 -8.30566406 +122.56347656 +32.29980469 +150.99609375 +1554150183.31579995 +736
+13.36376953 -2.86962891 -8.33203125 +122.23388672 +32.08007813 +150.88623047 +1554150183.31990004 +744
+13.34619141 -2.91796875 -8.37158203 +121.94824219 +31.77246094 +150.86425781 +1554150183.32410002 +752
+13.32861328 -2.96191406 -8.41113281 +121.68457031 +31.44287109 +150.86425781 +1554150183.32830000 +760
+13.31542969 -3.01025391 -8.44628906 +121.37695313 +31.15722656 +150.82031250 +1554150183.33240008 +764
+13.29345703 -3.05859375 -8.49023438 +121.06933594 +30.80566406 +150.84228516 +1554150183.33660007 +776
+13.28027344 -3.10693359 -8.53417969 +120.78369141 +30.45410156 +150.86425781 +1554150183.34069991 +784
+13.26708984 -3.15527344 -8.57812500 +120.49804688 +30.14648438 +150.86425781 +1554150183.34489989 +792
+13.24951172 -3.20361328 -8.62207031 +120.21240234 +29.79492188 +150.88623047 +1554150183.34910011 +804
+13.23632813 -3.25195313 -8.67041016 +119.92675781 +29.42138672 +150.88623047 +1554150183.35319996 +812
+13.21875000 -3.30029297 -8.71435547 +119.64111328 +29.06982422 +150.88623047 +1554150183.35739994 +820
+13.20117188 -3.34863281 -8.76269531 +119.33349609 +28.69628906 +150.90820313 +1554150183.36159992 +832
+13.18359375 -3.40136719 -8.81103516 +119.02587891 +28.32275391 +150.95214844 +1554150183.36570001 +840
+13.16162109 -3.45849609 -8.85937500 +118.71826172 +27.94921875 +150.99609375 +1554150183.36989999 +852
+13.14404297 -3.51123047 -8.90771484 +118.38867188 +27.59765625 +151.01806641 +1554150183.37409997 +860
+13.13085938 -3.55957031 -8.95605469 +118.08105469 +27.24609375 +151.01806641 +1554150183.37820005 +868
+13.10888672 -3.60791016 -9.00000000 +117.75146484 +26.87255859 +151.01806641 +1554150183.38240004 +876
+13.09130859 -3.66064453 -9.04394531 +117.42187500 +26.49902344 +151.06201172 +1554150183.38660002 +888
+13.06933594 -3.71337891 -9.08789063 +117.07031250 +26.14746094 +151.12792969 +1554150183.39070010 +896
+13.04296875 -3.77050781 -9.13623047 +116.71875000 +25.79589844 +151.19384766 +1554150183.39490008 +908
+13.02099609 -3.82763672 -9.18017578 +116.34521484 +25.42236328 +151.30371094 +1554150183.39910007 +920
+12.99902344 -3.88037109 -9.22851563 +115.99365234 +25.07080078 +151.41357422 +1554150183.40319991 +928
+12.97265625 -3.93310547 -9.26806641 +115.62011719 +24.69726563 +151.50146484 +1554150183.40739989 +940
+12.95068359 -3.99023438 -9.31201172 +115.24658203 +24.34570313 +151.65527344 +1554150183.41160011 +948
+12.92431641 -4.04296875 -9.35595703 +114.87304688 +23.97216797 +151.80908203 +1554150183.41569996 +960
+12.89355469 -4.10009766 -9.39990234 +114.47753906 +23.62060547 +151.98486328 +1554150183.41989994 +972
+12.86718750 -4.15722656 -9.44384766 +114.06005859 +23.24707031 +152.20458984 +1554150183.42400002 +984
+12.83642578 -4.21435547 -9.48339844 +113.66455078 +22.87353516 +152.44628906 +1554150183.42820001 +996
+12.80566406 -4.27148438 -9.52734375 +113.26904297 +22.52197266 +152.68798828 +1554150183.43239999 +1004
+12.77490234 -4.32861328 -9.57128906 +112.85156250 +22.14843750 +152.95166016 +1554150183.43650007 +1016
+12.74414063 -4.38134766 -9.61523438 +112.43408203 +21.77490234 +153.19335938 +1554150183.44070005 +1028
+12.71337891 -4.43408203 -9.65478516 +112.01660156 +21.40136719 +153.45703125 +1554150183.44490004 +1040
+12.68261719 -4.49121094 -9.69433594 +111.59912109 +21.02783203 +153.69873047 +1554150183.44899988 +1052
+12.64746094 -4.54833984 -9.73388672 +111.15966797 +20.69824219 +153.98437500 +1554150183.45320010 +1060
+12.61230469 -4.60546875 -9.77783203 +110.72021484 +20.32470703 +154.27001953 +1554150183.45740008 +1072
+12.57275391 -4.65820313 -9.82177734 +110.28076172 +19.97314453 +154.53369141 +1554150183.46149993 +1084
+12.53759766 -4.70654297 -9.86132813 +109.86328125 +19.59960938 +154.77539063 +1554150183.46569991 +1096
+12.50244141 -4.75488281 -9.90527344 +109.42382813 +19.24804688 +155.01708984 +1554150183.46989989 +1104
+12.46289063 -4.80322266 -9.94042969 +109.00634766 +18.91845703 +155.23681641 +1554150183.47399998 +1116
+12.42773438 -4.85156250 -9.97558594 +108.54492188 +18.61083984 +155.43457031 +1554150183.47819996 +1124
+12.38818359 -4.89990234 -10.01953125 +108.08349609 +18.28125000 +155.67626953 +1554150183.48239994 +1136
+12.34863281 -4.94824219 -10.05468750 +107.62207031 +17.99560547 +155.85205078 +1554150183.48650002 +1144
+12.31347656 -4.98779297 -10.08984375 +107.20458984 +17.70996094 +156.02783203 +1554150183.49070001 +1152
+12.27392578 -5.02734375 -10.12939453 +106.78710938 +17.40234375 +156.22558594 +1554150183.49480009 +1160
+12.23876953 -5.06689453 -10.16455078 +106.34765625 +17.16064453 +156.40136719 +1554150183.49900007 +1164
+12.20361328 -5.09765625 -10.19531250 +105.93017578 +16.91894531 +156.55517578 +1554150183.50320005 +1172
+12.16406250 -5.13281250 -10.22607422 +105.53466797 +16.67724609 +156.70898438 +1554150183.50729990 +1176
+12.13769531 -5.16357422 -10.24804688 +105.11718750 +16.50146484 +156.84082031 +1554150183.51149988 +1176
+12.11132813 -5.18994141 -10.27441406 +104.76562500 +16.32568359 +157.01660156 +1554150183.51570010 +1176
+12.07617188 -5.21630859 -10.30078125 +104.39208984 +16.12792969 +157.21435547 +1554150183.51979995 +1176
+12.05419922 -5.23828125 -10.32275391 +104.06250000 +16.01806641 +157.41210938 +1554150183.52399993 +1176
+12.03222656 -5.25585938 -10.34912109 +103.75488281 +15.86425781 +157.63183594 +1554150183.52819991 +1172
+12.00585938 -5.26904297 -10.36669922 +103.44726563 +15.68847656 +157.85156250 +1554150183.53230000 +1168
+11.99267578 -5.28222656 -10.37988281 +103.16162109 +15.60058594 +158.07128906 +1554150183.53649998 +1164
+11.97509766 -5.29101563 -10.40185547 +102.89794922 +15.49072266 +158.35693359 +1554150183.54069996 +1156
+11.95312500 -5.30419922 -10.41503906 +102.61230469 +15.38085938 +158.66455078 +1554150183.54480004 +1152
+11.93554688 -5.31738281 -10.42822266 +102.34863281 +15.29296875 +158.99414063 +1554150183.54900002 +1148
+11.92236328 -5.32177734 -10.44580078 +102.08496094 +15.20507813 +159.38964844 +1554150183.55320001 +1140
+11.90478516 -5.32617188 -10.45898438 +101.86523438 +15.11718750 +159.80712891 +1554150183.55730009 +1136
+11.89160156 -5.33056641 -10.47216797 +101.57958984 +15.00732422 +160.29052734 +1554150183.56150007 +1128
+11.87841797 -5.33496094 -10.48535156 +101.33789063 +14.94140625 +160.77392578 +1554150183.56570005 +1124
+11.86523438 -5.33496094 -10.49414063 +101.11816406 +14.87548828 +161.25732422 +1554150183.56979990 +1116
+11.84765625 -5.33935547 -10.50732422 +100.83251953 +14.80957031 +161.89453125 +1554150183.57399988 +1112
+11.83886719 -5.33496094 -10.51611328 +100.63476563 +14.76562500 +162.44384766 +1554150183.57809997 +1104
+11.82128906 -5.33496094 -10.52490234 +100.41503906 +14.72167969 +163.01513672 +1554150183.58229995 +1100
+11.81250000 -5.33056641 -10.52929688 +100.21728516 +14.72167969 +163.54248047 +1554150183.58649993 +1092
