Sensor position, angle , timestamp, and quality in inches, degrees and seconds, respectively

 x            y            z            a            e            r            timestamp          quality
+16.21582031 -2.17089844 -5.58544922 +141.89941406 +54.64599609 -67.98339844 +1554322409.01410007 +984
+14.47119141 +2.74218750 -4.53076172 -131.52832031 +74.22363281 -92.17529297 +1554322409.01830006 +644
+16.21582031 -2.16650391 -5.58544922 +141.92138672 +54.64599609 -68.02734375 +1554322409.01830006 +984
+14.47119141 +2.74218750 -4.53515625 -131.50634766 +74.20166016 -92.19726563 +1554322409.02239990 +644
+16.21582031 -2.16650391 -5.58544922 +141.94335938 +54.64599609 -68.04931641 +1554322409.02239990 +984
+14.47119141 +2.74658203 -4.53515625 -131.48437500 +74.17968750 -92.19726563 +1554322409.02659988 +644
+16.21582031 -2.16210938 -5.58544922 +141.96533203 +54.64599609 -68.07128906 +1554322409.02659988 +984
+14.47119141 +2.74658203 -4.53515625 -131.46240234 +74.15771484 -92.21923828 +1554322409.03080010 +644
+16.21142578 -2.16210938 -5.58544922 +141.98730469 +54.64599609 -68.09326172 +1554322409.03080010 +980
+14.47119141 +2.75097656 -4.53515625 -131.46240234 +74.15771484 -92.24121094 +1554322409.03489995 +640
+16.21142578 -2.15771484 -5.58544922 +142.00927734 +54.66796875 -68.13720703 +1554322409.03489995 +980
+14.47119141 +2.75097656 -4.53515625 -131.41845703 +74.13574219 -92.26318359 +1554322409.03909993 +640
+16.21142578 -2.15332031 -5.58105469 +142.03125000 +54.66796875 -68.18115234 +1554322409.03909993 +980
+14.47119141 +2.75537109 -4.53515625 -131.39648438 +74.11376953 -92.28515625 +1554322409.04329991 +640
+16.21142578 -2.15332031 -5.58105469 +142.03125000 +54.68994141 -68.22509766 +1554322409.04329991 +980
+14.47119141 +2.75537109 -4.53515625 -131.37451172 +74.09179688 -92.30712891 +1554322409.04740000 +640
+16.21142578 -2.15332031 -5.57666016 +142.03125000 +54.68994141 -68.24707031 +1554322409.04740000 +980
+14.47558594 +2.75976563 -4.53515625 -131.35253906 +74.04785156 -92.32910156 +1554322409.05159998 +640
+16.21142578 -2.15332031 -5.57666016 +142.05322266 +54.68994141 -68.29101563 +1554322409.05159998 +980
